admin2,admin2id,longitude,latitude,village_id,vector_01
"Banfora",826,-4.62555,10.28526,532,2
"Barsalogho",827,-.7764314,13.75356,149,1
"Batie",828,-2.861531,9.997551,450,1
"Bogande",829,-.1806012,12.28679,192,1
"Boulsa",831,-.4632873,12.81524,212,1
"Dande",833,-4.189598,11.50484,407,1
"Dedougou",835,-3.808473,12.19928,42,1
"Diapaga",836,1.705164,11.61867,241,2
"Djibo",838,-1.136995,13.7666,298,2
"Fada",840,.7050166,11.84431,170,2
"Gaoua",841,-3.214237,10.21003,464,1
"Gayeri",842,.3171559,12.69644,232,2
"Gorom",843,-.1986584,14.5245,327,2
"Kaya",846,-1.00628,12.89643,79,1
"Kongoussi",848,-1.666735,13.54154,138,1
"Leo",852,-1.672012,11.13592,13,1
"Manga",853,-.8999099,11.51151,123,2
"Nouna",855,-3.665141,13.08208,343,1
"Orodara",856,-5.166738,11.30079,444,1
"Ouahigouya",857,-2.34749,14.13241,279,1
"Ouargaye",858,.2203865,11.18245,503,2
"Pama",859,.8275176,11.36488,488,1
"Po",862,-1.33328,11.38655,517,1
"Sapouy",865,-2.211255,11.6669,11,1
"Do",868,-4.745465,11.31625,430,2
"Sindou",871,-5.368158,10.39437,536,1
"Solenzo",872,-4.426686,11.87686,378,1
"Tenkodogo",873,-.4868472,11.89535,98,2
"Toma",875,-2.875934,12.88914,382,2
"Tougan",876,-3.434503,12.89201,331,1
"Zabre",878,-.5103182,11.1404,513,1
"Manni",1155,-.0036492,13.12995,199,1
"Bittou",1171,-.3130259,11.48394,510,2
"Mangodara",1174,-4.009216,10.03394,476,1
"Banfora",826,-4.605542,10.4544,521,1
"Banfora",826,-4.949062,10.71262,528,2
"Banfora",826,-4.60394,10.60723,527,1
"Banfora",826,-4.749786,10.77475,525,2
"Banfora",826,-4.954452,10.86668,531,1
"Banfora",826,-4.745618,10.2903,526,2
"Banfora",826,-4.88891,10.5237,522,1
"Banfora",826,-5.052586,10.37479,530,2
"Banfora",826,-4.853712,10.33484,524,1
"Banfora",826,-4.796116,10.41263,529,1
"Banfora",826,-4.834913,9.870183,523,2
"Barsalogho",827,-1.27892,13.32542,151,2
"Barsalogho",827,-.7919547,13.65912,146,1
"Barsalogho",827,-1.123518,13.6779,152,2
"Barsalogho",827,-1.043689,13.7706,150,1
"Barsalogho",827,-1.186428,13.50748,148,1
"Barsalogho",827,-.901513,13.64581,147,1
"Batie",828,-2.878176,9.791248,452,2
"Batie",828,-3.101973,9.936436,451,1
"Batie",828,-3.1327,10.14282,447,2
"Batie",828,-2.833709,9.527488,448,1
"Batie",828,-3.017045,9.827177,449,2
"Bogande",829,.402831,13.01404,188,1
"Bogande",829,.3481489,12.48445,191,2
"Bogande",829,-.0394785,12.33513,198,2
"Bogande",829,-.1835026,13.07247,195,2
"Bogande",829,-.0844881,12.7039,190,1
"Bogande",829,.5103956,13.05259,187,1
"Bogande",829,-.1626602,12.96057,197,2
"Bogande",829,-.1640498,12.85504,196,1
"Bogande",829,.2745159,12.54368,189,2
"Bogande",829,.1081911,12.66921,193,1
"Bogande",829,.183807,13.0352,194,2
